District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Southington School District,Joseph A. Depaolo Middle School,Public Schools,1315111,385 Pleasant St.,Southington,06489-2708,860-628-3260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"385 Pleasant St.
Southington, CT 06489-2708
(41.607787982, -72.856537985)"
West Hartford School District,Whiting Lane School,Public Schools,1551311,47 Whiting Ln.,West Hartford,06119-1642,860-233-8541,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"47 Whiting Ln.
West Hartford, CT 06119-1642
(41.763126986, -72.725422975)"
Woodbridge School District,Beecher Road School,Public Schools,1670311,40 Beecher Rd.,Woodbridge,06525-2006,203-389-2195,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2012-07-01T00:00:00.000,0,"40 Beecher Rd.
Woodbridge, CT 06525-2006
(41.336282003, -73.009701005)"
Oxford School District,Quaker Farms School,Public Schools,1080311,30 Great Oak Rd.,Oxford,06478,203-888-5842,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"30 Great Oak Rd.
Oxford, CT 06478
(41.425104894, -73.141238011)"
Cromwell School District,Cromwell High School,Public Schools,0336111,1 Donald Harris Dr.,Cromwell,06416-1698,860-632-4841,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1 Donald Harris Dr.
Cromwell, CT 06416-1698
(41.615939006, -72.659358993)"
East Granby School District,East Granby High School,Public Schools,0406111,95 South Main St.,East Granby,06026-9550,860-653-2541,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"95 South Main St.
East Granby, CT 06026-9550
(41.93293701, -72.727957998)"
Unified School District #1,Unified School District #1,State Agencies,3360015,24 Wolcott Hill Road,Wethersfield,06109,860-692-7537,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"24 Wolcott Hill Road
Wethersfield, CT 06109
(41.726200009, -72.672201997)"
Canaan School District,Canaan School District,Public School Districts,0210011,246 Warren Turnpike Road,Falls Village,06031,860-824-7791,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"246 Warren Turnpike Road
Falls Village, CT 06031
(41.936804001, -73.362178976)"
Guilford School District,Guilford School District,Public School Districts,0600011,55 Park Street,Guilford,06437,203-453-8200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"55 Park Street
Guilford, CT 06437
(41.283898, -72.680844996)"
Middletown School District,MacDonough School,Public Schools,0830911,66 Spring St.,Middletown,06457-2262,860-347-8553,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"66 Spring St.
Middletown, CT 06457-2262
(41.566930018, -72.656482995)"
Westbrook School District,Daisy Ingraham School,Public Schools,1540211,105 Goodspeed Dr.,Westbrook,06498-1997,860-399-7925,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"105 Goodspeed Dr.
Westbrook, CT 06498-1997
(41.285202015, -72.441690141)"
Regional School District 13,Regional School District 13,Regional School Districts,2130012,135-A Pickett Lane,Durham,06422,860-349-7200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"135-A Pickett Lane
Durham, CT 06422
(41.475849234, -72.672825464)"
Capitol Region Education Council,Academy of Computer Science and and Engineering Middle School,Regional Education Service Center Schools,2415014,337 East River Dr.,East Hartford,06108,860-290-5320,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,1,"337 East River Dr.
East Hartford, CT 06108
(41.756926012, -72.653725013)"
Waterbury School District,North End Middle School,Public Schools,1515311,534 Bucks Hill Rd.,Waterbury,06704-1270,203-574-8097,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"534 Bucks Hill Rd.
Waterbury, CT 06704-1270
(41.605473512, -73.03033747)"
Plymouth School District,Harry S. Fisher Elementary School,Public Schools,1110411,79 North Main Street,Terryville,06786-5329,860-314-2770,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2008-09-02T00:00:00.000,0,"79 North Main Street
Terryville, CT 06786-5329
(41.684109988, -73.007860004)"
New Canaan School District,South School,Public Schools,0900211,8 Farm Rd.,New Canaan,06840-6697,203-594-4313,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"8 Farm Rd.
New Canaan, CT 06840-6697
(41.13023478, -73.491364594)"
Booker T. Washington Academy District,Booker T. Washington Academy,Public Charter Schools,2950113,804 State Street,New Haven,06511,203-691-6535,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2014-09-10T00:00:00.000,,"804 State Street
New Haven, CT 06511
(41.312651993, -72.915174008)"
Wethersfield School District,Wethersfield High School,Public Schools,1596111,411 Wolcott Hill Rd.,Wethersfield,06109-2798,860-571-8200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"411 Wolcott Hill Rd.
Wethersfield, CT 06109-2798
(41.707532002, -72.671143027)"
Department of Mental Health and Addiction Services,Whiting Forensic Hospital,State Agency Facilities,3370915,70 O'Brien Drive,Middletown,06457,860-262-7175,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2018-05-01T00:00:00.000,,"70 O'Brien Drive
Middletown, CT 06457
(41.552593466, -72.626362668)"
Clinton School District,Clinton School District,Public School Districts,0270011,137 B Glenwood Road,Clinton,06413,860-664-6500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"137 B Glenwood Road
Clinton, CT 06413
(41.303577932, -72.523854901)"
Kent School District,Kent Center School,Public Schools,0680111,9 Judd Street,Kent,06757-0219,860-927-3537,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"9 Judd Street
Kent, CT 06757-0219
(41.724059983, -73.482056034)"
West Haven School District,Harry M. Bailey Middle School,Public Schools,1565111,106 Morgan Ln.,West Haven,06516-6299,203-937-4380,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"106 Morgan Ln.
West Haven, CT 06516-6299
(41.253906, -72.978089998)"
Office of Higher Education,Office of Higher Education,State Agencies,3520015,450 Columbus Blvd,Hartford,06106,860-947-1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-28T00:00:00.000,,"450 Columbus Blvd
Hartford, CT 06106
(41.767399996, -72.668942023)"
Southington School District,Wrinn Integrated Preschool - SES,Public Schools,1312111,820 Marion Ave,Plantsville,06479,860-628-3314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-01T00:00:00.000,,"820 Marion Ave
Plantsville, CT 06479
(41.572093019, -72.917973983)"
Stratford School District,Stratford High School,Public Schools,1386111,245 King Street,Stratford,06615-5832,203-385-4230,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"245 King Street
Stratford, CT 06615-5832
(41.196150999, -73.135289994)"
Norwalk School District,Naramake Elementary School,Public Schools,1032111,16 King Street,Norwalk,06851-5429,203-899-2900,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"16 King Street
Norwalk, CT 06851-5429
(41.120033009, -73.390841984)"
Regional School District 08,Regional School District 08,Regional School Districts,2080012,85 Wall Street,Hebron,06248,860-228-2115,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"85 Wall Street
Hebron, CT 06248
(41.66352701, -72.365757018)"
Portland School District,Portland High School,Public Schools,1136111,95 High Street,Portland,06480,860-342-1720,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"95 High Street
Portland, CT 06480
(41.580467001, -72.61839898)"
Regional School District 13,Coginchaug Regional High School,Regional Schools,2136112,135 Pickett Ln.,Durham,06422-2001,860-349-7215,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"135 Pickett Ln.
Durham, CT 06422-2001
(41.475849234, -72.672825464)"
Farmington School District,Union School,Public Schools,0520111,173 School St.,Unionville,06085-1096,860-673-2575,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"173 School St.
Unionville, CT 06085-1096
(41.758236984, -72.890509)"
Vernon School District,Maple Street School,Public Schools,1460211,20 Maple St.,Rockville,06066-3026,860-870-6175,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Maple St.
Rockville, CT 06066-3026
(41.867875001, -72.462313023)"
Sprague School District,Sayles School,Public Schools,1330111,25 Scotland Road,Baltic,06330-1110,860-822-8264,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Scotland Road
Baltic, CT 06330-1110
(41.62290902, -72.08586197)"
Meriden School District,Washington Middle School,Public Schools,0805411,1225 North Broad St.,Meriden,06450-2479,203-235-6606,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1225 North Broad St.
Meriden, CT 06450-2479
(41.551286998, -72.779463033)"
Wallingford School District,Cook Hill School,Public Schools,1481011,57 Hall Road,Wallingford,06492,203-284-5400,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"57 Hall Road
Wallingford, CT 06492
(41.457053996, -72.858637987)"
Wolcott School District,Wolcott School District,Public School Districts,1660011,1488 Woodtick Road,Wolcott,06716,203-879-8183,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1488 Woodtick Road
Wolcott, CT 06716
(41.612908674, -72.960007025)"
Department of Social Services,Department of Social Services,State Agencies,3320015,25 Sigourney Street,Hartford,06106,860-424-5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-07-01T00:00:00.000,0,"25 Sigourney Street
Hartford, CT 06106
(41.762736012, -72.694578996)"
East Haven School District,Momauguin School,Public Schools,0440711,99 Cosey Beach Rd.,East Haven,06512-1449,203-468-3321,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"99 Cosey Beach Rd.
East Haven, CT 06512-1449
(41.24880341, -72.872457897)"
North Branford School District,Totoket Valley Elementary School,Public Schools,0990611,1388 Middletown Ave.,Northford,06472-1380,203-484-1455,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"1388 Middletown Ave.
Northford, CT 06472-1380
(41.392344991, -72.79492404)"
Hartland School District,Hartland School,Public Schools,0650111,30 South Rd.,East Hartland,06027-9710,860-653-7207,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"30 South Rd.
East Hartland, CT 06027-9710
(41.997087028, -72.907683659)"
Willington School District,Hall Memorial School,Public Schools,1605111,111 River Rd.,West Willington,06279-1842,860-429-9391,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"111 River Rd.
West Willington, CT 06279-1842
(41.851423002, -72.302299976)"
Greenwich School District,New Lebanon School,Public Schools,0570611,25 Mead Ave.,Greenwich,06830-6812,203-531-9139,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Mead Ave.
Greenwich, CT 06830-6812
(41.000627014, -73.655105035)"
Colchester School District,Jack Jackter Intermediate School,Public Schools,0280211,215 Halls Hill Rd.,Colchester,06415-1433,860-537-9421,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"215 Halls Hill Rd.
Colchester, CT 06415-1433
(41.571509932, -72.321009512)"
Capitol Region Education Council,Academy of Aerospace and Engineering,Regional Education Service Center Schools,2415114,1101 Kennedy Road,Windsor,06095,860-243-0857,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2008-08-25T00:00:00.000,1,"1101 Kennedy Road
Windsor, CT 06095
(41.895475016, -72.653126965)"
New Haven School District,"Celentano BioTech, Health and Medical Magnet School",Public Schools,0934811,400 Canner Street,New Haven,06511,475-220-3400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1995-07-01T00:00:00.000,0,"400 Canner Street
New Haven, CT 06511
(41.324924986, -72.921795963)"
Windham School District,W. B. Sweeney School,Public Schools,1630611,60 Oak Hill Dr.,Willimantic,06226-1223,860-465-2420,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"60 Oak Hill Dr.
Willimantic, CT 06226-1223
(41.724459004, -72.228272013)"
Granby School District,Granby Memorial Middle School,Public Schools,0565111,321 Salmon Brook St.,Granby,06035-1804,860-844-3029,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"321 Salmon Brook St.
Granby, CT 06035-1804
(41.961463287, -72.790347128)"
East Haven School District,Carbone School/East Haven Academy,Public Schools,0441711,200 Tyler St.,East Haven,06512,203-468-3219,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"200 Tyler St.
East Haven, CT 06512
(41.275065989, -72.876217017)"
Ansonia School District,Mead School,Public Schools,0020311,75 Ford St.,Ansonia,06401-2699,203-736-5090,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Ford St.
Ansonia, CT 06401-2699
(41.337819999, -73.050847013)"
Fairfield School District,Sherman School,Public Schools,0511311,250 Fern St.,Fairfield,06824,203-255-8330,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"250 Fern St.
Fairfield, CT 06824
(41.140176985, -73.245959027)"
Torrington School District,Vogel-Wetmore School,Public Schools,1431311,68 Church St.,Torrington,06790-5217,860-489-2570,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1987-07-01T00:00:00.000,0,"68 Church St.
Torrington, CT 06790-5217
(41.803604999, -73.123278978)"
Capitol Region Education Council,Capitol Region Education Council,Regional Education Service Center School Districts,2410014,111 Charter Oak Avenue,Hartford,06106,860-524-4063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"111 Charter Oak Avenue
Hartford, CT 06106
(41.758245994, -72.66826904)"
New Britain School District,New Britain School District,Public School Districts,0890011,272 Main St,New Britain,06050,860-827-2200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"272 Main St
New Britain, CT 06050
(41.668044017, -72.78254598)"
Manchester School District,Manchester High School,Public Schools,0776111,134 MiddleTpke E,Manchester,06040-4260,860-647-3530,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"134 MiddleTpke E
Manchester, CT 06040-4260
(41.782367016, -72.517050036)"
Manchester School District,Highland Park School,Public Schools,0770411,397 Porter St.,Manchester,06040-5575,860-647-3430,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2012-08-30T00:00:00.000,0,"397 Porter St.
Manchester, CT 06040-5575
(41.772917007, -72.49460003)"
East Windsor School District,East Windsor Middle School,Public Schools,0475411,38 Main St.,Broad Brook,06016-9602,860-623-4488,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2000-07-01T00:00:00.000,0,"38 Main St.
Broad Brook, CT 06016-9602
(41.921809992, -72.546725996)"
Bridgeport School District,James J. Curiale School,Public Schools,0154211,300 Laurel Ave.,Bridgeport,06604-1103,203-576-8437,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"300 Laurel Ave.
Bridgeport, CT 06604-1103
(41.176335007, -73.204580002)"
Norwich School District,Uncas Elementary School,Public Schools,1041911,280 Elizabeth St.,Norwich,06360-6612,860-823-4208,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"280 Elizabeth St.
Norwich, CT 06360-6612
(41.512484094, -72.09462515)"
Waterford School District,Quaker Hill Elementary School,Public Schools,1520711,285 Bloomingdale Rd.,Quaker Hill,06375,860-442-1095,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2008-07-15T00:00:00.000,0,"285 Bloomingdale Rd.
Quaker Hill, CT 06375
(41.401714995, -72.114295984)"
Danbury School District,King Street Primary School,Public Schools,0341311,151 South King St.,Danbury,06811-3540,203-797-4744,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"151 South King St.
Danbury, CT 06811-3540
(41.424439005, -73.500876005)"
Bloomfield School District,Wintonbury Early Childhood Magnet School,Public Schools,0110811,44 Brown Street,Bloomfield,06002,860-769-5510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-07-01T00:00:00.000,1,"44 Brown Street
Bloomfield, CT 06002
(41.837945991, -72.745857971)"
Old Saybrook School District,Kathleen E. Goodwin School,Public Schools,1060211,80 Old Boston Post Rd.,Old Saybrook,06475-2214,860-395-3165,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"80 Old Boston Post Rd.
Old Saybrook, CT 06475-2214
(41.286102986, -72.381841975)"
Milford School District,Pumpkin Delight School,Public Schools,0841011,27 Art St.,Milford,06460-4318,203-783-3531,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"27 Art St.
Milford, CT 06460-4318
(41.203903005, -73.078678952)"
Regional School District 15,Long Meadow Elementary School,Regional Schools,2150712,65 North Benson Rd.,Middlebury,06762,203-758-1144,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"65 North Benson Rd.
Middlebury, CT 06762
(41.503909003, -73.154771967)"
Salem School District,Salem School District,Public School Districts,1210011,200 Hartford Road,Salem,06420,860-892-1223,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"200 Hartford Road
Salem, CT 06420
(41.487969012, -72.273733026)"
Regional School District 05,Amity Regional High School,Regional Schools,2056112,25 Newton Rd.,Woodbridge,06525-1598,203-397-4830,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"25 Newton Rd.
Woodbridge, CT 06525-1598
(41.357913013, -73.005691018)"
Montville School District,Mohegan School,Public Schools,0860111,49 Golden Rd.,Uncasville,06382-1714,860-848-9261,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"49 Golden Rd.
Uncasville, CT 06382-1714
(41.476896015, -72.093464021)"
Plainfield School District,Plainfield Central School,Public Schools,1095111,75 Canterbury Rd.,Plainfield,06374-1556,860-564-6437,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Canterbury Rd.
Plainfield, CT 06374-1556
(41.682661009, -71.931025)"
Madison School District,Walter C. Polson Middle School,Public Schools,0765211,302 Green Hill Rd.,Madison,06443-2283,203-245-6480,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2003-07-01T00:00:00.000,0,"302 Green Hill Rd.
Madison, CT 06443-2283
(41.297148798, -72.620100264)"
Elm City Montessori School District,Elm City Montessori School District,Public Charter School Districts,2910013,495 Blake Street,New Haven,06515,475-220-4100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2014-08-18T00:00:00.000,,"495 Blake Street
New Haven, CT 06515
(41.328593996, -72.959819042)"
Judicial Centers,Bridgeport Residential Center,State Agency Facilities,3480115,60 Housatonic Ave,Bridgeport,06604,203-579-3671,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2009-05-14T00:00:00.000,0,"60 Housatonic Ave
Bridgeport, CT 06604
(41.182299988, -73.187938991)"
Judicial Centers,REGIONS staff-secure Hartford,State Agency Facilities,3482215,123 Washington Street,Hartford,06106,860-566-2030,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2020-03-09T00:00:00.000,,"123 Washington Street
Hartford, CT 06106
(41.759171985, -72.682987998)"
New London School District,New London High School,Public Schools,0956111,20 Chester Street,New London,06320,860-437-6400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"20 Chester Street
New London, CT 06320
(41.359614012, -72.123932863)"
Danbury School District,Morris Street School,Public Schools,0340611,28 Morris St.,Danbury,06810,203-797-4809,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"28 Morris St.
Danbury, CT 06810
(41.394924758, -73.465118377)"
New Hartford School District,New Hartford School District,Public School Districts,0920011,"530 Main Street, Box 315",New Hartford,06057,860-379-8546,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"530 Main Street, Box 315
New Hartford, CT 06057
(41.879152014, -72.979608966)"
West Hartford School District,Wolcott School,Public Schools,1551511,71 Wolcott Rd.,West Hartford,06110-1764,860-561-2300,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"71 Wolcott Rd.
West Hartford, CT 06110-1764
(41.725080019, -72.74931098)"
Stamford School District,Northeast School,Public Schools,1351811,82 Scofieldtown Rd.,Stamford,06903,203-977-4469,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"82 Scofieldtown Rd.
Stamford, CT 06903
(41.122443015, -73.546980998)"
Plainville School District,Louis Toffolon School,Public Schools,1100511,145 NorthWest Dr.,Plainville,06062-1534,860-793-3280,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"145 NorthWest Dr.
Plainville, CT 06062-1534
(41.686186982, -72.887033025)"
Orange School District,Race Brook School,Public Schools,1070311,107 Grannis Rd.,Orange,06477-1911,203-891-8030,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"107 Grannis Rd.
Orange, CT 06477-1911
(41.292068009, -73.00415998)"
New Haven School District,Engineering - Science University Magnet School,Public Schools,0931711,500 Boston Post Road,West Haven,06516,475-220-6000,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2008-09-02T00:00:00.000,1,"500 Boston Post Road
West Haven, CT 06516
(41.289703013, -72.965861975)"
Watertown School District,Fletcher W. Judson School,Public Schools,1530311,124 Hamilton Lane,Watertown,06795-2405,860-945-4850,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"124 Hamilton Lane
Watertown, CT 06795-2405
(41.60068499, -73.13141504)"
